,page_id,page_name,week_0_community,week_1_community,week_2_community,week_3_community,week_4_community,week_5_community,week_6_community,week_7_community,week_8_community,week_9_community,week_10_community,week_11_community,week_12_community,week_13_community
71,136264019722601,Rush Limbaugh,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,169676909894983,Unknown Page Name7,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,10128918116,Gavin Newsom,2,2,2,2,2,2,2,2,2,2,2,2,2,2
74,114364638621903,ForAmerica,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,114270361928171,Americans Against The Republican Party,2,2,2,2,2,2,2,2,2,2,2,2,2,2
76,86973707921,Refinery29,3,2,3,2,2,2,2,2,3,3,2,2,3,2
77,591402597574018,Tell Me Now,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78,235203259169,Unknown Page Name8,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,133279166727577,The Tea Party Community by WJ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,440106476051475,Unknown Page Name9,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,228702593913193,Unknown Page Name10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,219856014723410,D.L. Hughley,3,2,2,2,2,2,2,2,2,2,2,2,2,2
83,253546571389025,Bipartisan Report,2,2,2,2,2,2,2,2,2,2,2,2,2,2
84,169204449790211,Conservative News Today,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85,216709768355686,Dinesh D'Souza,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,289079127883350,Newsiosity,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,22156858944,Explore Talent - Acting and Modeling,3,3,3,3,3,2,3,3,3,3,3,3,3,3
88,868219436604578,Tomi Lahren,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89,6622931938,Channel 4 News,3,2,3,3,2,2,2,2,3,3,3,2,3,3
90,5633824547,FreedomWorks,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,7642602143,Mother Jones,2,2,2,2,2,2,2,2,2,2,2,2,2,2
92,180213475460766,Unknown Page Name11,2,2,2,2,2,2,2,2,2,2,2,2,2,2
93,380516878697366,Madam President,2,2,2,2,2,2,2,2,2,2,2,2,2,2
94,6934857868,Mike Huckabee,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95,146422995398181,Addicting Info,2,2,2,2,2,2,2,2,2,2,2,2,2,2
96,158924294183807,Unknown Page Name12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
